,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
32,AUSTIN AEROTECH REPAIR SERVICES INC               ,2005 WINDY TERRACE                 ,                                   ,                                   ,CEDAR PARK            ,TX,78613,1A7R,SW17,1A7R319B,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 9-JAN-2009,  6171        ,  1-FEB-2021,1.0,3.0,3.0,9.0,"(30.5281852, -97.8592347)",30.5281852,-97.8592347
33,ADI INTERNATIONAL CORPORATION                     ,2311 P-51 COURT                    ,                                   ,                                   ,MINDEN                ,NV,89423,1ADR,WP19,1ADR654Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , , , ,1.0,0.0,1.0,3.0,"(38.993298357907086, -119.76573298574034)",38.993298357907086,-119.76573298574034
34,CABIN AERO LLC                                    ,120 TECHNOLOGY PARKWAY             ,                                   ,                                   ,NORCROSS              ,GA,30092,1AFR,SO11,1AFR109B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 14-FEB-2008, , ,1.0,0.0,0.0,5.0,"(33.9728554, -84.2104855)",33.9728554,-84.2104855
35,AVIATION INTERIOR SERVICES INC                    ,100 CROSSWIND DRIVE                ,                                   ,                                   ,SEARCY                ,AR,72143,1ANR,SW11,1ANR029B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 24-OCT-2007, , ,0.0,3.0,5.0,8.0,"(35.24673979375818, -91.7534499496449)",35.24673979375818,-91.7534499496449
36,AIRCRAFT CABIN SYSTEMS LLC                        ,"18080 NE 68TH STREET, BLDG. B      ",                                   ,                                   ,REDMOND               ,WA,98052,1ASR,NM01,1ASR959Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 17-JUN-2010,  6770        ,  7-NOV-2021,0.0,5.0,0.0,12.0,"(47.7094661, -122.11097265101716)",47.7094661,-122.11097265101716
37,WORLD WIDE AERONAUTICAL COMPONENTS INC            ,10 REITH STREET                    ,                                   ,                                   ,COPAIGUE              ,NY,11726,1AUR,EA11,1AUR034B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-AUG-2008, , ,0.0,1.0,7.0,9.0,"(40.680151249999994, -73.39704985197261)",40.680151249999994,-73.39704985197261
38,"WESTERN SKYWAYS TURBINE, INC                      ",1681 6450 Rd. Unit 3A              ,                                   ,                                   ,MONTROSE              ,CO,81404,1B6R,NM07,1B6R708C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 4-JAN-2016,  6709        ,  2-SEP-2020,5.0,0.0,1.0,6.0,"(47.7437096, -122.178909)",47.7437096,-122.178909
39,BUCHER AEROSPACE CORPORATION                      ,1310 INDUSTRY ST SUITE 100         ,                                   ,                                   ,EVERETT               ,WA,98203,1BSR,NM01,1BSR390B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-JAN-2011, , ,0.0,2.0,0.0,9.0,"(47.943881284502396, -122.22079968155617)",47.943881284502396,-122.22079968155617
40,CORPORATE JET GROUP INC                           ,450 BRISCO BLVD                    ,                                   ,                                   ,LAWRENCEVILLE         ,GA,30045,1C1R,SO11,1C1R816B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 30-JUN-2011, , ,1.0,3.0,0.0,5.0,"(33.9768695, -83.992648)",33.9768695,-83.992648
41,GALVIN FLIGHT MAINTENANCE LLC                     ,"7001 Pereimeter Road South,        ",Suite 102                          ,                                   ,Seattle               ,WA,98108,1C8R,NM01,1C8R303C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 21-MAR-2014, , ,0.0,1.0,0.0,6.0,"(47.567587, -122.32236453234921)",47.567587,-122.32236453234921
